ID_111991	NA. NA
ID_111988	NA. NA
ID_111965	NA. NA
ID_111971	NA. NA
ID_111998	NA. NA
ID_111996	NA. NA
ID_111989	NA. NA
ID_111990	NA. NA
ID_111979	NA. NA
ID_111974	NA. NA
ID_111966	NA. NA
ID_111995	NA. NA
ID_111999	NA. NA
ID_111977	NA. NA
ID_111981	NA. NA
ID_111980	NA. NA
ID_111986	NA. NA
ID_111987	NA. NA
ID_111972	NA. NA
ID_111975	NA. NA
ID_111970	NA. NA
ID_111985	NA. NA
ID_111983	NA. NA
ID_111976	NA. NA
ID_112000	NA. NA
ID_111994	NA. NA
ID_111992	NA. NA
ID_111993	NA. NA
ID_111973	NA. NA
ID_111997	NA. NA
ID_111982	NA. NA
ID_111978	NA. NA
ID_111968	NA. NA
ID_111967	NA. NA
ID_111969	NA. NA
ID_111984	NA. NA
